Time;EMMcp16
3.49115;6.33466
3.49809;6.34111
3.50503;6.3472
3.51198;6.35293
3.51892;6.3583
3.52587;6.36333
3.53281;6.36803
3.53976;6.37243
3.5467;6.37658
3.55366;6.38056
3.5606;6.38439
3.56755;6.38816
3.57449;6.39191
3.58144;6.3957
3.58838;6.39958
3.59532;6.40357
3.60227;6.40766
3.60921;6.4119
3.61616;6.41629
3.6231;6.42085
3.63005;6.42557
3.63699;6.43045
3.64394;6.43547
3.65088;6.44065
3.65782;6.44596
3.66477;6.45137
3.67171;6.45685
3.67866;6.46238
3.6856;6.46795
3.69255;6.47351
3.69949;6.47907
3.70644;6.48458
3.71338;6.49004
3.72032;6.4954
3.72727;6.50063
3.73421;6.5057
3.74116;6.5106
3.7481;6.51531
3.75505;6.51986
3.76199;6.52423
3.76894;6.52844
3.77589;6.5325
3.78284;6.5365
3.78978;6.54046
3.79672;6.54445
3.80367;6.5485
3.81061;6.55268
3.81756;6.55707
3.8245;6.56174
3.83145;6.56672
3.83839;6.57205
3.84534;6.57778
3.85228;6.58393
3.85922;6.59049
3.86617;6.59742
3.87311;6.60467
3.88006;6.61222
3.887;6.62
3.89395;6.62792
3.90089;6.63589
3.90784;6.64386
3.91478;6.65164
3.92172;6.65912
3.92867;6.6662
3.93561;6.67277
3.94256;6.67881
3.9495;6.68426
3.95645;6.68907
3.96339;6.69323
3.97034;6.69622
3.97728;6.69881
3.98422;6.70105
3.99117;6.70311
3.99811;6.70504
4.00507;6.70687
4.01201;6.70865
4.01896;6.71038
4.0259;6.71212
4.03285;6.71388
4.03979;6.71573
4.04674;6.71825
4.05368;6.72072
4.06062;6.72317
4.06757;6.72563
4.07451;6.72821
4.08146;6.73094
4.0884;6.73388
4.09535;6.73707
4.10229;6.74054
4.10924;6.74431
4.11618;6.7484
4.12312;6.75281
4.13007;6.75754
4.13701;6.76258
4.14396;6.76791
4.1509;6.77345
4.15785;6.77915
4.16479;6.785
4.17174;6.79095
4.17868;6.79698
4.18562;6.80307
4.19257;6.80919
4.19951;6.81534
4.20646;6.8215
4.2134;6.82769
4.22036;6.83387
